Estimate; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 9 years,Estimate; SEX AND AGE - 10 to 14 years,Estimate; SEX AND AGE - 15 to 19 years,Estimate; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 to 84 years,Estimate; RACE - Total population - One race,Estimate; RACE - Total population - Two or more races,Estimate; RACE - One race - White,Estimate; RACE - One race - Black or African American,Estimate; RACE - One race - American Indian and Alaska Native,Estimate; RACE - One race - Asian,Estimate; RACE - One race - Some other race,Estimate; RACE - Two or more races - White and Black or African American,Estimate; RACE - Two or more races - White and American Indian and Alaska Native,Estimate; RACE - Two or more races - White and Asian,Estimate; RACE - Race alone or in combination with one or more other races - Total population - White,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Estimate; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Asian,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,"Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races",Estimate; HISPANIC OR LATINO AND RACE - Total housing units,"Estimate; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population - Male","Estimate; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population - Female"
-0.40217783199987334,-0.3206699261477895,-0.5332048399499113,-0.48742617363282265,-0.331802403777112,-0.31374040306794637,-0.2979887941005073,-0.23209101401543084,-0.3490211513374641,-0.2965841403304128,-0.42957431017782416,-0.2931414237218413,-0.2788501401365866,-0.4071292883150076,-0.2716315946632931,-1.4655609958175633,-1.1467395719408209,1.126673406486247,0.8106638498781646,-0.956585080836001,-0.9608918913298788,-0.9144432363820133,-1.049598751582387,-0.7053429077565015,-1.1613222898479827,1.060972209638999,0.077340020979605,-1.0709431328518175,-1.040417720620738,-1.4774124144292489,-1.2540543178983108,-0.748279319546974,-0.9966713310600879,-0.21916574436011102,-1.0959018610698337,1.144224312443612,0.9492660736744203,-0.9468937818452807,-1.3971178402024838,-1.3852960507220295,-0.4057278767255281,-0.3929039975628059,-0.30631760599723157
0.499169061568067,0.5084933067313127,0.47031042799856876,0.5524137956359776,0.6007993167482151,0.5520631549730841,0.42475911903193403,0.4604802602155617,0.5282158195202706,0.5365455027247727,0.5267626660096911,0.47962391996159687,0.4326468986724217,0.508583568167341,0.4892782183428357,0.9672553737777674,0.565755295716881,0.3128870998195752,-0.8244044991143901,-0.9558684598505136,-0.9601720439185957,1.1680484377782843,1.1500941556506845,-0.7048145036032387,0.585635277214039,0.6463306509973165,0.8705201931275413,-1.070140841096865,-1.0396382968274893,-0.8940365786370048,-0.6402147615152456,-0.7688863425772029,-0.861857730004396,0.5864594971546072,0.6480636108072186,0.3368378823490111,-0.7613278537440668,-0.946184421048534,1.0564608196624672,1.0716280687815458,0.44790080748831157,0.4846854729434511,0.5386171038230281
-0.8216926684100339,-1.051428418152175,-1.6916751213618655,-1.6934261963134551,-1.8536754236095823,-0.23252278899831408,0.03777839301340414,-0.6799620564091041,-1.553867460596021,-1.795695070735595,-1.6533200847233027,-2.0906179509237375,-2.2723040960576206,-2.214890978284852,-0.7648940175636472,0.3176457852079113,-1.2462553855445893,0.7620287447002817,-0.6102372426296233,0.8697294555431478,0.862210411839483,0.3906906383923644,-0.3449001454161212,-0.25245691280765437,-0.9905591542503903,0.6444730705812695,-0.048213017915896925,0.7455936867185889,0.7720811619841313,0.3320228925602064,0.47235049465643225,0.749148897793917,0.5009068176010397,-0.7738708812537827,-1.300961259015174,0.779502475406822,-0.6891505582901697,0.8848202038067113,0.28260771773029053,0.25043493444652304,-2.631727773725588,-0.7786115414854828,-1.0331813607589737
2.6271731868009867,2.6216805404448627,2.341727680507363,2.3134309667989283,2.3001319843454615,2.212804873716477,2.205054720744338,2.432081587770329,2.4087048215115385,2.4001738019843506,2.437767095453909,2.4119942551611233,2.423498711395833,2.329659667512377,2.6224297334640045,1.9892219133760762,2.471855659805105,1.6257962089427342,1.6398083404350379,1.66326549065555,1.7304389155373952,1.5398668568310614,1.5463852391972792,1.626697818165884,2.504419351708208,1.7387659713291983,1.8281818702773664,1.698681926169764,1.7735301381227018,1.9704249406883847,1.5461634496319243,1.6842750171135303,1.7581330107707012,2.527975531607922,2.4026301669480534,1.6110216867427953,1.615533965549135,1.660564662202219,1.8331511101812097,1.8062289356403585,2.5782425061129484,2.565081887289711,2.5590209657837666
0.7563004910387721,0.7087005665071101,0.9099679528700987,0.9496263615751962,0.7792004205305424,0.48210567766334667,0.662274937088305,0.7703407094598422,0.7964871121687339,0.5300893120513885,0.7525855749278646,0.5051868881710588,0.6150098653646878,0.5907791737937437,0.7540903718986375,-1.4663386788526889,0.8992445752375946,-1.1637863842769216,-0.8254603493921777,0.07065948745123342,-0.9614017775267752,-0.9149284751360123,-1.0501557090513183,-0.7057171898333813,0.8820924429858419,-1.3126436174602887,-1.2930603289074312,-0.10740197248555866,-1.0409698062815054,-1.4946999039492246,-1.2547197673548254,-0.76987108836555,-0.9972002032039111,0.8274198675969823,0.9922362186918415,-1.1454443826825265,-0.7623029190508751,0.08591498857045267,-1.3978592046666705,-1.3860311420900093,0.608706098027311,0.7145662915402554,0.6907247210826635
1.9289121065665682,1.8915407732645229,1.9717510407037344,1.943491892354702,1.8676427766233576,1.7531791523204645,1.8657942263424354,1.7773139814309316,1.6106529093301862,1.5518853467482476,1.361832693774588,1.2452724823611065,1.5593176257195462,1.6509294670854173,1.9432107147134872,0.44580362333991,2.1062144682720496,0.48520822036391453,-0.8250959296922152,-0.9566701496547655,1.5571953642038323,-0.9145245575394353,-1.049692092078452,-0.705405633685631,2.0822428816603735,0.3317280318836648,-1.292489475737511,-1.071038371497183,1.5453099491699607,2.372742529805246,2.3718908378978183,1.0676789353488512,1.3817384159916717,0.1227850790032837,0.23662562938023468,0.3893376731872979,-0.7619663817462723,-0.9469779888197891,-1.3972420854648464,-1.385419244676268,1.6374838078121305,1.5175372997380252,1.452712937478693
0.09068536754705334,0.10303128061749353,0.23179549883104614,0.20309391457449133,0.21420552229895579,0.24421171078005585,0.1399266389759541,0.058110935681007475,0.1234866212791918,0.12413413913883442,0.10815135929211782,0.14494184778506713,0.14870970623271357,0.10791157857850367,0.08521505183260003,0.5810333478358346,0.05366739334307436,-1.1627744379721814,1.2735537266569061,1.0378142749196404,1.2231393100416617,-0.9141329180629753,1.0001234871117342,-0.11605652993183363,0.06716900553863481,-1.3115022354368557,1.010358622801472,0.9349547946358863,1.1521128866887922,1.0202277075044945,1.2198261075821555,-0.7692016629335948,0.9317366864448261,-0.19975384980064212,-0.1989172796292247,-1.1444483852847211,1.1198928638040824,1.0504782674025606,0.44295950030358544,0.45902798561622965,0.07719556618644463,-0.01755040514211093,0.013004726412372452
-2.2236047590229715,-2.2119007719572674,-2.026459037447493,-2.0713286968758133,-2.1072785411701855,-2.1490284390787697,-2.076271398888998,-2.2504780683597656,-2.266246180596181,-2.1992902310351696,-2.148356296525353,-2.125213833309432,-2.0633346082547908,-2.0654553165506444,-2.1863466691768414,-1.335787508046893,-2.142905612285208,-1.1581694611948856,-0.8214763302006421,-0.9524733494250212,-0.9100764334767588,-0.9105126451006773,-1.0450872154500914,-0.6249108468154909,-2.153805449807255,-1.3063082466972242,-1.2868194753401176,-1.0085310156781846,-0.9899243144954476,-1.297252920582259,-1.0468449808599207,-0.7661553663525968,-0.932449915889806,-2.1777001724044447,-2.1087539339380608,-1.1399159858227577,-0.7586237242094773,-0.9428237069678091,-1.3166027902734598,-1.3046175943222962,-1.9436778851914336,-2.163276896244711,-2.1583294048242423
0.7573216206889302,0.7386921637746333,0.6666626234127461,0.8526151457182991,0.8710840652822256,0.5518531122941633,0.3160662860099251,0.4036126486483551,0.8194222963460266,0.8289694125129061,0.6949029763917522,0.6912775918749858,0.6061268682070925,0.592746467546956,0.7490875446690731,0.8649054042551368,0.7637101086901313,0.3428085539516228,-0.8252729204780384,1.4505730306191207,-0.9611834817705389,0.43070842243309243,-1.0412388271144202,1.5836601453794037,0.7704912267639779,0.26502218821879114,-1.0375577069906103,1.4343925194876201,-1.0407334438195326,0.13086024286731374,-0.9452916046276523,0.38290968785634627,0.378954976043621,0.8345834149448516,0.8420027822737601,0.3691038769996049,-0.762129830654239,1.4554430060172703,0.9561530026795473,0.9717752765893523,0.6154189412296076,0.6804781210994632,0.6579181432406074
-0.7853481166238655,-0.7435090755703685,-0.4143677622837705,-0.6320397231476483,-0.611613997552833,-0.6077186515570427,-0.4798656443777351,-0.563763651570531,-0.7208021796868588,-0.7817904390926962,-0.8907047032154486,-0.8752638464451679,-0.8166376611887355,-0.8692044382714063,-0.9457024979326238,0.6499807158096658,-1.1526784501615217,-1.1633097669126975,1.5046946022341048,-0.9567007136995567,-0.9610080448045542,-0.8705522335370883,1.2093164735155142,-0.38478917503924215,-0.884746556430388,-1.278413030792372,1.295658277104559,-0.8261489207758916,-1.0405434872490698,-0.9073905145773855,-0.7081341387550034,-0.7695557951692328,-0.9067851517357461,-0.7417606764106642,-1.1085503271879373,-1.1449752771061807,1.5859574698438064,-0.9470082432159119,0.7531228963840861,0.7693522663097047,-0.864258295585549,-0.8428190817319162,-0.7883907077455395
