Archetype 0,Archetype 1,Archetype 2,Archetype 3,Archetype 4,Archetype 5,Archetype 6,Archetype 7,Archetype 8,Archetype 9,zip,cluster
0.11603162666732697,0.0,0.0,0.14458365618689475,0.0,0.6084836279160745,0.0,0.0,0.0,0.12725657100593124,00601,5
0.0,0.020301542568738874,0.08957988259674399,0.011707153942928452,0.0,0.6536155991779381,0.0,0.22141781465408,0.0,0.0,00606,5
0.06878226449320488,0.0,0.08093739281494505,0.05835397171796834,0.0,0.6371200892150393,0.0,0.0,0.0,0.15068470326436764,00616,5
0.0,0.0,0.09376943092952696,0.3121651212476145,0.0,0.4749239064209532,0.0,0.0,0.11632404767274819,0.0,00617,5
0.06320031144828829,0.06195206148049317,0.0,0.011927440849196141,0.0,0.6493989899215609,0.0,0.20994441470888014,0.0001633448707942098,0.0,00622,5
0.0,0.0,0.0,0.32234261176138546,0.0,0.6748952973040121,0.0,0.0,0.0,0.0,00623,5
0.018608751147175563,0.0,0.05364775749196941,0.21263894820709775,0.0,0.6378336931775237,0.07395213117255313,0.0,0.0,0.0,00624,5
0.03833591263919915,0.0,0.0,0.19411034853399411,0.0,0.7641783186083944,0.0,0.0,0.0,0.0,00627,5
0.0,0.0,0.0,0.0,0.0,0.5096732223601658,0.0,0.4880767056586976,0.0,0.0,00631,5
0.0,0.0,0.0,0.23760256006474767,0.0,0.6332341421917371,0.0,0.0,0.0,0.12594571941672816,00637,5
0.0,0.16884759131157248,0.018559588628244528,0.02424922930160592,0.0,0.7558735969144983,0.0,0.02841822811220414,0.0,0.0,00638,5
0.022189640740548168,0.0,0.024166845127277903,0.3574726329397595,0.0,0.5584750322872485,0.0,0.03523875834429485,0.0,0.0,00641,5
0.0,0.0,0.024189999516549675,0.4007333246805067,0.0,0.5727065150449143,0.0,0.0,0.0,0.0,00646,5
0.0,0.0,0.061838066157734385,0.0,0.0,0.6757100687732313,0.0,0.25921218630189224,0.0,0.0,00647,5
0.0,0.0,0.11732639659333648,0.0009940140628323564,0.0,0.7027127645571782,0.0,0.0,0.1745307970394972,0.0,00650,5
0.0,0.0,0.21598531165972523,0.0,0.0,0.5539241251208569,0.0,0.1759476472311727,0.05051745038451988,0.0,00652,5
0.05699206492307712,0.0,0.057305431517194555,0.06415355416666108,0.0,0.677315757360676,0.0,0.008228999772805444,0.0,0.13194205074484333,00653,5
0.0,0.0,0.06196594946172795,0.3133736780712996,0.0,0.473884596136639,0.08510501053615185,0.049652300932597204,0.013441701575752965,0.0,00656,5
0.0,0.0,0.0,0.15455209497136727,0.0,0.8218476393485593,0.0,0.0,0.02009978491848555,0.0,00659,5
0.0,0.0030043868497597196,0.2071367011155941,0.2305440892518584,0.0,0.556087406734828,0.0,0.0,0.0,0.0,00660,5
0.0,0.0,0.0,0.26936619855309457,0.0,0.727733381063833,0.0,0.0,0.0,0.0,00662,5
0.004442010504537536,0.0,0.10387544219320068,0.16212091870521664,0.0,0.5936553090787114,0.0925506215899162,0.03997113626704773,0.0,0.0,00664,5
0.1030199455194688,0.0,0.0,0.14660606897914905,0.0,0.7007541815758406,0.0,0.0,0.0,0.04596031550277633,00667,5
0.0,0.0,0.08030091819518882,0.35541093079595587,0.0,0.5237616858202825,0.0,0.0,0.0,0.03789376654806385,00669,5
0.041290896255636596,0.0,0.031457452513917,0.0756993542953819,0.0,0.6368058544637519,0.0,0.12036936709480545,0.0,0.09085826689304416,00670,5
0.0,0.0,0.0,0.41564226721225556,0.0,0.582049401649124,0.0,0.0,0.0,0.0,00674,5
0.0,0.3169509246529096,0.12240128679305425,0.4485592435352094,0.0,0.0626082030590137,0.03553704493459126,0.0,0.012102849696114776,0.0,00677,3
0.10328144381721079,0.0,0.028688698614181277,0.32609185592876205,0.0,0.5391793973207345,0.0,0.0,0.0,0.0,00678,5
0.0,0.0,0.1037168378723381,0.4743152465488811,0.0,0.41998883489001376,0.0,0.0,0.0,0.0,00682,3
